iter	RMSE
0	10010.11666
1	9593.84092
2	9209.367495
3	8837.204072
4	8472.316088
5	8138.158472
6	7823.932562
7	7542.606226
8	7255.397659
9	6983.383035
10	6739.757819
11	6494.909237
12	6253.503585
13	6024.980331
14	5820.926066
15	5608.431658
16	5404.21749
17	5227.678648
18	5050.317665
19	4870.919888
20	4707.939511
21	4556.144972
22	4400.496837
23	4267.107712
24	4135.637529
25	4002.419199
26	3888.872887
27	3780.097926
28	3675.576816
29	3570.38296
30	3466.551308
31	3372.179982
32	3278.513169
33	3202.341619
34	3116.797103
35	3050.090587
36	2978.071118
37	2905.578172
38	2843.384355
39	2767.931518
40	2698.308095
41	2635.350842
42	2583.01317
43	2525.405982
44	2472.174998
45	2422.461877
46	2366.259221
47	2321.797666
48	2282.04862
49	2238.449164
50	2188.113888
51	2154.826778
52	2109.627254
53	2075.288267
54	2044.151539
55	2016.281932
56	1992.06605
57	1962.114494
58	1929.951379
59	1908.56813
60	1884.381201
61	1861.574019
62	1837.790379
63	1819.182072
64	1788.695617
65	1769.606314
66	1753.293709
67	1728.403742
68	1713.888456
69	1698.159382
70	1681.132865
71	1659.942462
72	1639.553782
73	1625.834625
74	1614.724659
75	1603.308065
76	1593.08186
77	1574.868895
78	1559.357735
79	1549.30981
80	1541.188069
81	1526.701681
82	1511.403985
83	1503.606249
84	1494.386673
85	1484.91516
86	1471.327165
87	1462.282384
88	1450.453953
89	1438.41366
90	1425.911044
91	1420.871606
92	1415.292192
93	1404.800474
94	1395.35229
95	1388.245998
96	1379.591187
97	1371.496445
98	1366.07179
99	1360.304263
100	1355.592183
101	1347.076748
102	1340.366071
103	1329.852832
104	1324.119323
105	1317.132911
106	1312.348608
107	1304.375538
108	1299.636869
109	1294.080255
110	1289.583117
111	1283.158269
112	1279.916481
113	1276.256493
114	1269.323999
115	1265.166378
116	1256.013311
117	1250.027702
118	1246.488552
119	1242.897806
120	1235.990631
121	1232.551061
122	1228.663609
123	1225.895932
124	1221.605247
125	1217.411549
126	1214.612462
127	1209.456905
128	1206.545509
129	1200.543249
130	1194.685012
131	1186.009416
132	1183.662902
133	1178.036257
134	1172.261176
135	1169.163983
136	1164.136272
137	1161.078604
138	1157.405832
139	1154.793654
140	1152.778277
141	1149.29654
142	1144.252156
143	1141.543852
144	1139.894196
145	1136.997804
146	1134.832609
147	1132.818116
148	1130.660818
149	1125.229687
150	1122.111778
151	1120.367579
152	1114.354362
153	1112.077099
154	1110.221033
155	1109.089331
156	1106.747196
157	1103.100786
158	1101.358174
159	1099.491097
160	1097.304094
161	1095.047185
162	1092.337977
163	1090.62328
164	1088.380994
165	1086.574286
166	1083.162559
167	1081.387401
168	1078.896321
169	1077.320987
170	1075.492826
171	1072.908935
172	1071.736223
173	1070.242221
174	1068.208495
175	1066.264183
176	1063.987138
177	1062.026567
178	1059.428882
179	1058.152616
180	1054.105769
181	1053.031807
182	1050.592796
183	1045.709327
184	1043.226336
185	1041.578205
186	1039.760477
187	1038.398406
188	1037.370771
189	1033.994218
190	1031.902035
191	1031.197988
192	1029.470299
193	1027.280013
194	1026.452338
195	1023.551759
196	1022.508777
197	1020.342842
198	1019.032651
199	1017.087375
200	1016.165646
201	1014.906501
202	1013.432708
203	1010.52595
204	1009.084069
205	1007.64496
206	1006.184221
207	1005.102547
208	1003.983898
209	1001.22892
210	998.4141532
211	994.1430106
212	990.7357366
213	989.8924021
214	988.1453602
215	985.1711716
216	983.8565577
217	982.4926848
218	981.0071651
219	980.0045354
220	978.4977386
221	975.1222938
222	974.3915048
223	971.2505803
224	968.6904478
225	967.69241
226	965.8191424
227	964.5811297
228	962.6562872
229	961.4095643
230	960.4952637
231	958.5622783
232	957.004759
233	955.818683
234	953.6607845
235	951.9850209
236	950.9495623
237	949.0908878
238	947.1385817
239	946.0988591
240	945.1535261
241	943.0155025
242	942.007375
243	940.4327978
244	938.8991302
245	936.5560641
246	935.2642283
247	934.6137802
248	933.8649309
249	933.2646885
250	931.8703712
251	929.1107069
252	928.5176569
253	928.1439351
254	926.8265924
255	925.8833311
256	924.7862697
257	924.6542447
258	922.9619769
259	921.5411068
260	920.8321645
261	919.7706738
262	918.7888644
263	916.8527592
264	915.2060732
265	914.5806983
266	913.0315117
267	912.2797421
268	910.3908631
269	909.1815117
270	908.4813352
271	907.571968
272	905.7961649
273	904.5063427
274	903.64229
275	902.6002123
276	901.0307727
277	900.0869666
278	899.0202851
279	897.5829625
280	895.858185
281	894.1951341
282	893.1669218
283	891.3468827
284	891.2258926
285	889.6703516
286	888.3760818
287	887.282008
288	885.5443077
289	884.5461288
290	884.0816841
291	883.2699106
292	882.3267048
293	881.0031055
294	879.0004501
295	877.3546613
296	876.4144819
297	875.3978094
298	874.4800088
299	873.343601
300	872.6793999
301	872.1932239
302	871.1454382
303	870.1444529
304	869.1670879
305	867.4166732
306	866.319339
307	865.2797598
308	863.9624838
309	863.1621524
310	863.06216
311	862.9733848
312	861.6992955
313	860.5470028
314	859.5735916
315	858.107694
316	858.0156388
317	857.3571792
318	857.2765411
319	857.1719982
320	857.0867802
321	855.6932817
322	853.9463589
323	853.0532612
324	850.8078076
325	850.0695071
326	848.8429178
327	848.2181741
328	848.1221969
329	847.2492688
330	846.5829883
331	845.0439554
332	844.8257617
333	843.9935905
334	843.1632018
335	842.40429
336	841.6173049
337	840.3883264
338	839.297693
339	838.51749
340	837.9161289
341	837.2849064
342	836.4467795
343	836.3751234
344	835.4439804
345	834.5351681
346	833.2112359
347	831.7520964
348	830.5956215
349	829.5132556
350	828.8936149
351	827.7688883
352	826.671538
353	826.1114517
354	824.7709535
355	823.1145382
356	822.2845914
357	821.0947318
358	820.4595966
359	819.9664794
360	819.3175867
361	818.5968414
362	817.9536437
363	817.2038374
364	816.1144745
365	815.2792224
366	814.9236765
367	814.3940793
368	813.5363016
369	812.8654824
370	812.4785387
371	811.3431834
372	810.9708567
373	810.4520818
374	809.7543195
375	809.1731443
376	808.637996
377	808.1220553
378	807.5887839
379	806.4439494
380	805.80664
381	805.0675933
382	804.6430296
383	804.0973973
384	803.9208012
385	803.5224164
386	802.5388805
387	801.5866319
388	800.5214835
389	800.1398108
390	799.6060673
391	798.4099516
392	797.3431285
393	796.5784542
394	795.7421148
395	794.8583797
396	794.3022104
397	793.2442125
398	792.2723896
399	791.6276045
400	791.1753535
401	790.3027516
402	789.5581178
403	788.9529877
404	787.8330317
405	786.4459523
406	785.9093318
407	784.9479763
408	784.4265218
409	784.1668942
410	783.2817473
411	782.3403328
412	781.8942481
413	781.3378678
414	780.3774894
415	779.5533962
416	778.8428434
417	777.8776906
418	777.3584761
419	776.541939
420	776.0544223
421	775.2989075
422	774.3429911
423	774.1092549
424	773.6139904
425	773.2007794
426	772.6686614
427	772.2376925
428	771.240293
429	770.2597198
430	769.8840322
431	769.5535645
432	768.6415867
433	767.7628374
434	766.9051955
435	766.3504384
436	765.5475708
437	764.6449779
438	763.8578789
439	762.8227619
440	762.2093868
441	760.5968048
442	759.9073018
443	758.8657556
444	758.0725995
445	757.7057738
446	757.2717762
447	756.3526182
448	755.3712258
449	754.285621
450	753.3738871
451	752.1781474
452	751.0649799
453	750.3255792
454	749.4355222
455	748.7732135
456	747.8275156
457	747.2663687
458	746.8325414
459	746.4949839
460	746.0537696
461	745.4873798
462	744.8732188
463	744.5791884
464	743.9300068
465	743.3282547
466	742.5516895
467	741.6801496
468	741.0415711
469	740.2931455
470	739.609719
471	738.3705097
472	737.2780261
473	736.2798667
474	735.1054834
475	734.7094134
476	734.2788426
477	733.5155626
478	733.1819539
479	732.6007592
480	731.5616152
481	730.9815538
482	730.2376436
483	729.2878294
484	728.894406
485	728.0204808
486	727.5014943
487	727.0350991
488	726.2048823
489	725.581528
490	725.2200326
491	724.3542322
492	723.8618936
493	723.1791516
494	722.558293
495	721.7177696
496	721.1065795
497	720.3075805
498	719.309581
499	718.5071118
500	718.0669335
501	717.4952127
502	717.0258019
503	716.4534137
